website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W27,tangan,8.2,0.6527363184079601,0.0033,0.5357142857142857,S3,0.5708208955223879,7,9,5,6,4.1.2,2.4.4,1.1.1,Sensitif
W09,tangan,10.120000000000001,0.8055721393034827,0.0029,0.3928571428571428,S3,0.5166716417910447,8,2,3,13,4.1.2,2.4.4,1.1.1,Sensitif
W18,tangan,9.07,0.7219900497512438,0.003,0.4285714285714286,S3,0.5165970149253731,9,3,4,10,4.1.2,2.4.4,1.1.1,Sensitif
W06,tangan,12.5625,1.0,0.0026,0.2857142857142857,S3,0.5,10,10,1,20,4.1.2,2.4.4,2.1.1,Cukup stabil
W04,tangan,5.55,0.4417910447761194,0.0029,0.3928571428571428,S3,0.4075373134328357,11,11,11,13,4.1.2,2.4.4,-,Sensitif
W19,tangan,4.35,0.3462686567164179,0.003,0.4285714285714286,S3,0.40388059701492535,12,14,14,10,4.1.2,2.4.4,-,Sensitif
W15,tangan,0.8,0.063681592039801,0.0033,0.5357142857142857,S3,0.39410447761194023,13,27,26,6,2.2.1,-,-,Sensitif
W08,tangan,6.029999999999999,0.4799999999999999,0.0028,0.35714285714285715,S3,0.39399999999999996,14,8,9,16,4.1.2,2.4.4,1.1.1,Sensitif
W25,tangan,3.19,0.2539303482587065,0.003,0.4285714285714286,S3,0.37617910447761194,15,19,19,10,4.1.2,2.4.4,1.1.1,Sensitif
W17,tangan,1.8399999999999999,0.14646766169154227,0.0031,0.46428571428571425,S3,0.3689402985074626,16,20,21,9,4.1.2,2.4.4,1.1.1,Sensitif
W22,tangan,3.81,0.30328358208955225,0.0028,0.35714285714285715,S3,0.34098507462686567,17,17,18,16,4.1.2,2.4.4,-,Sensitif
W34,tangan,3.9299999999999997,0.31283582089552237,0.0027,0.3214285714285715,S3,0.3188507462686567,18,16,16,19,4.1.2,2.4.4,1.1.1,Sensitif
W05,tangan,7.909999999999999,0.6296517412935323,0.0023,0.17857142857142858,S3,0.3138955223880597,19,5,6,26,4.1.2,2.4.4,1.1.1,Sensitif
W21,tangan,4.4399999999999995,0.35343283582089546,0.0026,0.2857142857142857,S3,0.30602985074626865,20,12,13,20,4.1.2,2.4.4,1.3.1,Sensitif
W29,tangan,2.3099999999999996,0.18388059701492535,0.0028,0.35714285714285715,S3,0.3051641791044776,21,21,20,16,4.1.2,2.4.4,2.1.1,Sensitif
W03,tangan,0.9299999999999999,0.07402985074626865,0.0029,0.3928571428571428,S3,0.2972089552238805,22,25,25,13,4.1.2,2.4.4,-,Sensitif
W02,tangan,3.8299999999999996,0.30487562189054723,0.0025,0.25000000000000006,S3,0.2664626865671642,23,18,17,23,4.1.2,2.4.4,1.1.1,Sensitif
W12,tangan,0.0,0.0,0.0026,0.2857142857142857,S3,0.19999999999999998,24,29,29,20,-,-,-,Sensitif
W20,tangan,0.6199999999999999,0.049353233830845764,0.0025,0.25000000000000006,S3,0.18980597014925374,25,26,27,23,4.1.2,1.1.1,-,Sensitif
W31,tangan,5.84,0.46487562189054726,0.002,0.07142857142857147,S3,0.1894626865671642,26,15,10,28,4.1.2,1.1.1,1.4.4,Sensitif
W32,tangan,1.04,0.08278606965174129,0.0024,0.21428571428571422,S3,0.17483582089552233,27,23,24,25,4.1.2,1.1.1,-,Sensitif
W24,tangan,0.0,0.0,0.0022,0.14285714285714293,S3,0.10000000000000005,28,29,29,27,-,-,-,Sensitif
W10,tangan,1.5899999999999999,0.12656716417910446,0.0018,0.0,S3,0.037970149253731336,29,22,22,30,4.1.2,2.4.4,2.1.1,Sensitif
W16,tangan,0.1,0.007960199004975126,0.0019,0.03571428571428573,S3,0.02738805970149255,30,27,28,29,1.4.4,-,-,Sensitif
