page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P123,W25,https://sulutprov.go.id/press-release/gubernur-yulius-pastikan-negara-hadir-bantuan-untuk-korban-kebakaran-asgap-pakowa-disalurkan,Layanan,"Auto-dipilih (link: ""30 Juli 2026Gubernur Yulius Pastikan Negara Hadir, Bantuan untuk Korban Kebakara"", keyword: bantuan) - REVIEW",,rendered,2026-08-02T06:35:39.887044+00:00
P124,W25,https://sulutprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:35:46.395222+00:00
P125,W25,https://sulutprov.go.id/profil,Interaksi/Kontak,email ada di footer,,rendered,2026-08-02T06:35:49.226438+00:00
P126,W26,https://sultengprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T07:34:22.438102+00:00
P127,W26,,Profil,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P128,W26,,Layanan,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P129,W26,,Konten,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P130,W26,,Interaksi/Kontak,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P131,W27,https://dinsossulselpemprov.com/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:35:52.513807+00:00
P132,W27,https://dinsossulselpemprov.com/profile/,Profil,"Auto-dipilih (link: ""Profil Kepala Dinas"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:36:03.062965+00:00
P133,W27,https://dinsossulselpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Layanan,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: permohonan) - REVIEW",,rendered,2026-08-02T06:36:06.709467+00:00
P134,W27,https://dinsossulselpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Konten,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: informasi) - REVIEW",,rendered,2026-08-02T06:36:10.037846+00:00
P135,W27,,Interaksi/Kontak,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P136,W28,https://dinsos.sultraprov.go.id/home,Homepage,Dipilih dari page_candidates.csv (requests) - link: (homepage),,timeout,2026-08-02T07:34:32.734678+00:00
P137,W28,https://dinsos.sultraprov.go.id/profil/sambutan,Profil,"Dipilih dari page_candidates.csv (requests) - link: Profil, keyword: profil",,timeout,2026-08-02T07:35:17.755741+00:00
P138,W28,,Layanan,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P139,W28,https://dinsos.sultraprov.go.id/page/berita/0,Konten,"Dipilih dari page_candidates.csv (requests) - link: Berita, keyword: berita",,timeout,2026-08-02T07:36:02.779325+00:00
P140,W28,https://dinsos.sultraprov.go.id/page/contact_us,Interaksi/Kontak,"Dipilih dari page_candidates.csv (requests) - link: Kontak, keyword: kontak",,timeout,2026-08-02T07:36:47.813494+00:00
P141,W29,https://dinsos.gorontaloprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:38:12.984639+00:00
P142,W29,https://dinsos.gorontaloprov.go.id/struktur-organisasi-dinsos-dukcapil-provgorontalo-th-2025,Profil,"Auto-dipilih (link: ""Struktur Organisasi"", keyword: struktur) - REVIEW",,rendered,2026-08-02T06:38:19.330586+00:00
P143,W29,https://dinsos.gorontaloprov.go.id/layanan,Layanan,"Auto-dipilih (link: ""Lihat Layanan"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:38:23.688113+00:00
P144,W29,https://dinsos.gorontaloprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita Terbaru"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:38:27.939951+00:00
P145,W29,https://dinsos.gorontaloprov.go.id/,Interaksi/Kontak,ada di footer,,rendered,2026-08-02T06:38:33.013749+00:00
P146,W30,https://dinsosp3apmd.sulbarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:38:36.243909+00:00
P147,W30,https://dinsosp3apmd.sulbarprov.go.id/page/profil,Profil,"Auto-dipilih (link: ""PROFIL"", keyword: profil) - REVIEW",,rendered,2026-08-02T07:37:32.834609+00:00
P148,W30,https://dinsosp3apmd.sulbarprov.go.id/page/layanan,Layanan,"Auto-dipilih (link: ""Layanan"", keyword: layanan) - REVIEW",,timeout,2026-08-02T07:37:36.343900+00:00
P149,W30,https://dinsosp3apmd.sulbarprov.go.id/page/informasi-berkala,Konten,"Auto-dipilih (link: ""INFORMASI PUBLIK"", keyword: informasi) - REVIEW",,"error: Message: unknown error: net::ERR_CONNECTION_REFUSED
  (Session info: chrome=151.0.7922.71)
Stacktrac",2026-08-02T07:38:21.361277+00:00
