page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P052,W11,https://dinsos.jakarta.go.id/profile,Profil,"Auto-dipilih (link: ""Profil Kepala Dinas"", keyword: profil) - REVIEW",,,
P053,W11,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Layanan,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: permohonan) - REVIEW",,,
P054,W11,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Konten,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: informasi) - REVIEW",,,
P055,W11,https://dinsos.jakarta.go.id/,Interaksi/Kontak,di footer,,,
P056,W12,https://dinsos.jabarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P057,W12,https://dinsos.jabarprov.go.id/visi-misi,Profil,"Auto-dipilih (link: ""Visi Misi"", keyword: visi) - REVIEW",,,
P058,W12,https://dinsos.jabarprov.go.id/sasaran-program-dinsos-jabar,Layanan,"Auto-dipilih (link: ""Sasaran Program"", keyword: program) - REVIEW",,,
P059,W12,https://dinsos.jabarprov.go.id/sop-pelayanan-informasi,Konten,"Auto-dipilih (link: ""Prosedur Pelayanan Informasi"", keyword: informasi) - REVIEW",,,
P060,W12,https://dinsos.jabarprov.go.id/pengaduan,Interaksi/Kontak,"Auto-dipilih (link: ""Pengaduan"", keyword: pengaduan) - REVIEW",,,
P061,W13,https://jatengprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P062,W13,https://jatengprov.go.id/sejarah/,Profil,"Auto-dipilih (link: ""Sejarah"", keyword: sejarah) - REVIEW",,,
P063,W13,https://jatengprov.go.id/katalog-layanan-jatengprov/,Layanan,"Auto-dipilih (link: ""Katalog Layanan"", keyword: layanan) - REVIEW",,,
P064,W13,https://jatengprov.go.id,Konten,"Auto-dipilih (link: ""JATENGPROV.GO.IDPortal Informasi Warga Jateng"", keyword: informasi) - REVIEW",,,
P065,W13,https://jatengprov.go.id,Interaksi/Kontak,di foooter,,,
P066,W14,https://dinsos.jogjaprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P067,W14,https://dinsos.jogjaprov.go.id/#,Profil,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P068,W14,https://dinsos.jogjaprov.go.id/layanan,Layanan,"Auto-dipilih (link: ""Lihat Semua Layanan"", keyword: layanan) - REVIEW",,,
P069,W14,https://dinsos.jogjaprov.go.id/informasi,Konten,"Auto-dipilih (link: ""Lihat Semua Informasi"", keyword: informasi) - REVIEW",,,
P070,W14,https://dinsos.jogjaprov.go.id/#,Interaksi/Kontak,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P071,W15,https://dinsos.jatimprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P072,W15,https://dinsos.jatimprov.go.id/profil,Profil,"Auto-dipilih (link: ""Provinsi"", keyword: profil) - REVIEW",,,
P073,W15,https://dinsos.jatimprov.go.id/menu/layanan,Layanan,"Auto-dipilih (link: ""Layanan"", keyword: layanan) - REVIEW",,,
P074,W15,https://dinsos.jatimprov.go.id/list-kegiatan,Konten,"Auto-dipilih (link: ""Kegiatan"", keyword: kegiatan) - REVIEW",,,
P075,W15,https://dinsos.jatimprov.go.id/laporan-publik,Interaksi/Kontak,"Auto-dipilih (link: ""Layanan Pengaduan"", keyword: pengaduan) - REVIEW",,,
P076,W16,https://dinsos.bantenprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P077,W16,https://dinsos.bantenprov.go.id/sejarah-banten,Profil,"Auto-dipilih (link: ""Sejarah Banten"", keyword: sejarah) - REVIEW",,,
P078,W16,https://dinsos.bantenprov.go.id/kebijakan-pelayanan-informasi-publik,Layanan,"Auto-dipilih (link: ""Kebijakan Pelayanan Informasi Publik"", keyword: layanan) - REVIEW",,,
P079,W16,https://dinsos.bantenprov.go.id/kategori/9fcd9da3-756c-46af-ba9f-bfb06ac57533/artikel,Konten,"Auto-dipilih (link: ""Artikel"", keyword: artikel) - REVIEW",,,
P080,W16,https://dinsos.bantenprov.go.id/tata-cara-pengaduan,Interaksi/Kontak,"Auto-dipilih (link: ""Tata Cara Pengaduan"", keyword: pengaduan) - REVIEW",,,
P081,W17,https://dissosp3a.baliprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P082,W17,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/,Profil,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P083,W17,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/,Layanan,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P084,W17,https://dissosp3a.baliprov.go.id/berita/,Konten,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,,
P085,W17,https://dissosp3a.baliprov.go.id/,Interaksi/Kontak,di footer,,,
P086,W18,https://dinsosntbpemprov.com/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P087,W18,https://dinsosntbpemprov.com/profile/,Profil,"Auto-dipilih (link: ""Profil Kepala Dinas"", keyword: profil) - REVIEW",,,
P088,W18,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Layanan,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: permohonan) - REVIEW",,,
P089,W18,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/,Konten,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: informasi) - REVIEW",,,
P090,W18,https://dinsosntbpemprov.com/,Interaksi/Kontak,footer,,,
P091,W19,https://dinsos.nttprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P092,W19,https://dinsos.nttprov.go.id/profil-dinas,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,,
P093,W19,https://dinsos.nttprov.go.id/layanan/pengaduan,Layanan,"Auto-dipilih (link: ""Pengaduan"", keyword: layanan) - REVIEW",,,
P094,W19,https://dinsos.nttprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P095,W19,https://dinsos.nttprov.go.id/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,,
P096,W20,https://dinsos.kalbarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P097,W20,https://dinsos.kalbarprov.go.id/profil/struktur-organisasi/,Profil,"Auto-dipilih (link: ""Struktur Organisasi"", keyword: profil) - REVIEW",,,
P098,W20,https://dinsos.kalbarprov.go.id/infografis/perbaiki-layanan-publik/,Layanan,"Auto-dipilih (link: ""Perbaiki Layanan Publik"", keyword: layanan) - REVIEW",,,
