website_id,page_type,candidate_url,link_text,matched_keyword
W06,Layanan,https://dinsos.sumselprov.go.id/layanan/izin-pengangkatan-anak-antar-wni,Pengangkatan Anak Antar WNI,layanan
W06,Layanan,https://dinsos.sumselprov.go.id/layanan/izin-pengumpulan-uang-barang-provinsi,Izin Pengumpulan Uang/Barang (Provinsi),layanan
W06,Konten,https://dinsos.sumselprov.go.id/berita,berita,berita
W06,Konten,https://dinsos.sumselprov.go.id/kegiatan-dinsos,kegiatan,kegiatan
W06,Konten,https://dinsos.sumselprov.go.id/layanan/izin-kegiatan-lks-lksa-provinsi,Izin Kegiatan LKS/LKSA (Provinsi),kegiatan
W06,Interaksi/Kontak,https://dinsos.sumselprov.go.id/layanan/pengaduan-masyarakat,Pengaduan Masyarakat,pengaduan
W06,Interaksi/Kontak,https://dinsos.sumselprov.go.id/kontak,Hubungi Kami,kontak
W07,Profil,https://dinsos.bengkuluprov.go.id/profil/,Profil,profil
W07,Profil,https://dinsos.bengkuluprov.go.id/visi-dan-misi/,Visi dan Misi,visi
W07,Profil,https://dinsos.bengkuluprov.go.id/struktur-organisasi/,Struktur Organisasi,struktur
W07,Layanan,,TIDAK KETEMU (Selenium juga) - cek manual,
W07,Konten,https://dinsos.bengkuluprov.go.id/informasi-berkala/,Informasi Berkala,informasi
W07,Konten,https://dinsos.bengkuluprov.go.id/informasi-serta-merta/,Informasi Serta Merta,informasi
W07,Konten,https://dinsos.bengkuluprov.go.id/informasi-setiap-saat/,Informasi Setiap Saat,informasi
W07,Interaksi/Kontak,https://dinsos.bengkuluprov.go.id/kontak-kami/,Kontak Kami,kontak
W08,Profil,,TIDAK KETEMU (Selenium juga) - cek manual,
W08,Layanan,https://lampungprov.go.id/layanan-publik,Layanan Publik,layanan
W08,Konten,,TIDAK KETEMU (Selenium juga) - cek manual,
W08,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W09,Profil,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv,,misi
W09,Profil,https://drupal.dinsospmd.babelprov.go.id/tinjau-pencapaian-kinerja-organisasi-dan-dukung-pembangunan-zi-kepala-dinas-sosial-pmd-pimpin,,organisasi
W09,Profil,https://drupal.dinsospmd.babelprov.go.id/plt-kepala-dinas-sosial-pmd-terima-audiensi-anggota-komisi-i-dprd-kabbangka-tengah-bahas-upaya,,misi
W09,Layanan,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik,,layanan
W09,Layanan,https://drupal.dinsospmd.babelprov.go.id/pengukuhan-dan-penyerahan-bantuan-logistik-kampung-siaga,,bantuan
W09,Layanan,https://drupal.dinsospmd.babelprov.go.id/monitoring-pelaksanaan-program-p3pd-di-wilayah-kabupaten-bangka-selatan,,program
W09,Konten,https://drupal.dinsospmd.babelprov.go.id/berita,more,berita
W09,Konten,https://drupal.dinsospmd.babelprov.go.id/artikel-hari-disabilitas-internasional-2022,,artikel
W09,Konten,https://drupal.dinsospmd.babelprov.go.id/artikel-mengatasi-stress-pada-lansia,,artikel
W09,Interaksi/Kontak,https://drupal.dinsospmd.babelprov.go.id/kanal-layanan-pengaduan,,pengaduan
W09,Interaksi/Kontak,https://drupal.dinsospmd.babelprov.go.id/laporan-berkala-penanganan-pengaduan-publik,Laporan Pengaduan Pelayanan Publik,pengaduan
W09,Interaksi/Kontak,https://drupal.dinsospmd.babelprov.go.id/standar-pelayanan-pengaduan,SP PENGADUAN,pengaduan
W10,Profil,https://dinsos.kepriprov.go.id/laman/tentang-kami,Profil,profil
W10,Layanan,https://dinsos.kepriprov.go.id/layanan,Layanan,layanan
